STATEFIP,White_Poordu_WeightedFrequency,White_Poordu_StdErrWgtFreq,White_Poordu_MOE_freq,White_Poordu_percent,White_Poordu_StdErrofRowPercent,White_Poordu_MOE_percent,White_Poordu_CV_Percent,Black_Poordu_WeightedFrequency,Black_Poordu_StdErrWgtFreq,Black_Poordu_MOE_freq,Black_Poordu_percent,Black_Poordu_StdErrofRowPercent,Black_Poordu_MOE_percent,Black_Poordu_CV_Percent,AIAN_Poordu_WeightedFrequency,AIAN_Poordu_StdErrWgtFreq,AIAN_Poordu_MOE_freq,AIAN_Poordu_percent,AIAN_Poordu_StdErrofRowPercent,AIAN_Poordu_MOE_percent,AIAN_Poordu_CV_Percent,Asian_Poordu_WeightedFrequency,Asian_Poordu_StdErrWgtFreq,Asian_Poordu_MOE_freq,Asian_Poordu_percent,Asian_Poordu_StdErrofRowPercent,Asian_Poordu_MOE_percent,Asian_Poordu_CV_Percent,NHOPI_Poordu_WeightedFrequency,NHOPI_Poordu_StdErrWgtFreq,NHOPI_Poordu_MOE_freq,NHOPI_Poordu_percent,NHOPI_Poordu_StdErrofRowPercent,NHOPI_Poordu_MOE_percent,NHOPI_Poordu_CV_Percent,Multi_Poordu_WeightedFrequency,Multi_Poordu_StdErrWgtFreq,Multi_Poordu_MOE_freq,Multi_Poordu_percent,Multi_Poordu_StdErrofRowPercent,Multi_Poordu_MOE_percent,Multi_Poordu_CV_Percent,Other_Poordu_WeightedFrequency,Other_Poordu_StdErrWgtFreq,Other_Poordu_MOE_freq,Other_Poordu_percent,Other_Poordu_StdErrofRowPercent,Other_Poordu_MOE_percent,Other_Poordu_CV_Percent,Hisp_Poordu_WeightedFrequency,Hisp_Poordu_StdErrWgtFreq,Hisp_Poordu_MOE_freq,Hisp_Poordu_percent,Hisp_Poordu_StdErrofRowPercent,Hisp_Poordu_MOE_percent,Hisp_Poordu_CV_Percent
1,25813,1747,2873.815,7.2854,0.4501,0.7404145,0.0618,28388,1949,3206.105,8.9251,0.5512,0.906724,0.0618,112,43.64631,71.79817995,2.2139,0.9297,1.5293565,0.42,357,124.19259,204.2968106,4.7423,1.6163,2.6588135,0.3408,.,.,.,.,.,.,.,2876,505.45629,831.4755971,6.9376,1.171,1.926295,0.1688,2465,486.46621,800.2369155,8.0147,1.537,2.528365,0.1918,4228,792.45853,1303.594282,6.0689,1.1167,1.8369715,0.184
2,1076,483.08902,794.6814379,3.3234,1.1863,1.9514635,0.357,205,127.66754,210.0131033,4.2726,2.8443,4.6788735,0.6657,3908,2474,4069.73,17.7266,3.4014,5.595303,0.1919,74,52.34501,86.10754145,2.1939,1.3766,2.264507,0.6275,278,0,0,16.4206,2.0716,3.407782,0.1262,303,122.93494,202.2279763,3.1671,0.9387,1.5441615,0.2964,135,91,149.695,9.1525,5.7314,9.428153,0.6262,160,89.42036,147.0964922,2.66,1.1265,1.8530925,0.4235
4,30942,2030,3339.35,6.0003,0.355,0.583975,0.0592,4122,602.83157,991.6579327,6.4259,0.8798,1.447271,0.1369,16059,1051,1728.895,18.5595,0.9394,1.545313,0.0506,1361,264.85232,435.6820664,4.5809,0.8453,1.3905185,0.1845,46,33.01515,54.30992175,2.8714,2.0857,3.4309765,0.7264,21652,1783,2933.035,10.3381,0.7253,1.1931185,0.0702,12521,1221,2008.545,10.9142,0.9375,1.5421875,0.0859,47178,2650,4359.25,10.7075,0.5351,0.8802395,0.05
5,17455,1490,2451.05,6.6255,0.4593,0.7555485,0.0693,7995,906.40838,1491.041785,6.4069,0.6412,1.054774,0.1001,562,452.01512,743.5648724,21.6821,12.9709,21.3371305,0.5982,460,163.46865,268.9059293,9.7334,3.6263,5.9652635,0.3726,737,363.85643,598.5438274,27.2257,9.585,15.767325,0.3521,1988,379.10421,623.6264255,4.8633,0.9028,1.485106,0.1856,1454,385.16183,633.5912104,8.4383,2.1126,3.475227,0.2504,2965,670.44412,1102.880577,6.136,1.2038,1.980251,0.1962
6,178115,4732,7784.14,8.0212,0.1902,0.312879,0.0237,48875,2473,4068.085,9.9521,0.4567,0.7512715,0.0459,12415,1019,1676.255,13.6818,0.9997,1.6445065,0.0731,73235,2580,4244.1,9.0518,0.2848,0.468496,0.0315,3669,612.21783,1007.09833,16.6493,2.1484,3.534118,0.129,132012,4290,7057.05,12.0853,0.3437,0.5653865,0.0284,240376,5112,8409.24,15.1242,0.2717,0.4469465,0.018,462861,7725,12707.625,13.9699,0.1966,0.323407,0.0141
8,15651,1088,1789.76,3.9232,0.2564,0.421778,0.0654,3626,684.05835,1125.275986,6.8996,1.1715,1.9271175,0.1698,1291,331.72404,545.6860458,10.8954,2.7452,4.515854,0.252,1148,222.06186,365.2917597,5.5937,1.0287,1.6922115,0.1839,53,0,0,4.7364,0.4028,0.662606,0.085,5720,724.96488,1192.567228,5.2066,0.6129,1.0082205,0.1177,5477,797.21154,1311.412983,9.3078,1.1827,1.9455415,0.1271,16497,1375,2261.875,7.186,0.543,0.893235,0.0756
9,8559,904.89344,1488.549709,4.3906,0.4076,0.670502,0.0928,6219,1001,1646.645,7.706,1.1061,1.8195345,0.1435,289,103.4814,170.226903,12.1378,3.7009,6.0879805,0.3049,1333,344.28822,566.3541219,6.9838,1.7389,2.8604905,0.249,.,.,.,.,.,.,.,4904,899.31443,1479.372237,8.778,1.378,2.26681,0.157,3034,478.06441,786.4159545,4.4536,0.6383,1.0500035,0.1433,9678,1061,1745.345,6.1505,0.6231,1.0249995,0.1013
10,2019,391.28378,643.6618181,4.3027,0.7583,1.2474035,0.1762,2997,900.59036,1481.471142,7.4927,1.89,3.10905,0.2522,357,348.06465,572.5663493,23.8636,8.7766,14.437507,0.3678,41,31.38471,51.62784795,1.1734,0.9,1.4805,0.767,.,.,.,.,.,.,.,1468,545.74536,897.7511172,10.4775,3.448,5.67196,0.3291,1331,449.37846,739.2275667,13.5623,3.5016,5.760132,0.2582,2339,652.21239,1072.889382,9.9228,1.4792,2.433284,0.1491
11,306,131.53707,216.3784802,2.2201,0.8288,1.363376,0.3733,7069,1926,3168.27,8.7975,0.7916,1.302182,0.09,.,.,#VALUE!,.,.,#VALUE!,.,186,139.19052,228.9684054,4.5835,3.3185,5.4589325,0.724,.,.,.,.,.,.,.,508,199.22349,327.7226411,7.2437,1.9335,3.1806075,0.2669,1125,399.17916,656.6497182,15.0281,3.4303,5.6428435,0.2283,1310,447.02237,735.3517987,10.3902,2.9824,4.906048,0.287
12,101841,3780,6218.1,6.4406,0.2169,0.3568005,0.0337,89421,4004,6586.58,11.1043,0.4423,0.7275835,0.0398,1802,402.05342,661.3778759,11.4036,2.2196,3.651242,0.1946,5753,689.82006,1134.753999,6.8724,0.749,1.232105,0.109,102,34.9285,57.4573825,6.9911,2.2857,3.7599765,0.3269,54075,3085,5074.825,8.4872,0.4356,0.716562,0.0513,26985,1671,2748.795,9.8786,0.5639,0.9276155,0.0571,109999,4139,6808.655,9.3499,0.3129,0.5147205,0.0335
