GEOID,DU_WeightedFrequency,StdErrWgtFreq,MOE_freq,DUpercent_prevalenceinPUMA,StdErrofRowPercent,MOE_percent,CV_Percent,Poordu_WeightedFrequency,Poordu_StdErrWgtFreq,Poordu_MOE_freq,Poordu_percent,Poordu_StdErrofRowPercent,Poordu_MOE_percent,Poordu_CV_Percent,Renter_DU_WeightedFrequency,Renter_StdErrWgtFreq,Renter_MOE_freq,Renter_percent,Renter_StdErrofRowPercent,Renter_MOE_percent,Renter_CV_Percent,White_DU_WeightedFrequency,White_StdErrWgtFreq,White_MOE_freq,White_percent,White_StdErrofRowPercent,White_MOE_percent,White_CV_Percent,Black_DU_WeightedFrequency,Black_StdErrWgtFreq,Black_MOE_freq,Black_percent,Black_StdErrofRowPercent,Black_MOE_percent,Black_CV_Percent,AIAN_DU_WeightedFrequency,AIAN_StdErrWgtFreq,AIAN_MOE_freq,AIAN_percent,AIAN_StdErrofRowPercent,AIAN_MOE_percent,AIAN_CV_Percent,Asian_DU_WeightedFrequency,Asian_StdErrWgtFreq,Asian_MOE_freq,Asian_percent,Asian_StdErrofRowPercent,Asian_MOE_percent,Asian_CV_Percent,NHOPI_DU_WeightedFrequency,NHOPI_StdErrWgtFreq,NHOPI_MOE_freq,NHOPI_percent,NHOPI_StdErrofRowPercent,NHOPI_MOE_percent,NHOPI_CV_Percent,Hispanic_DU_WeightedFrequency,Hispanic_StdErrWgtFreq,Hispanic_MOE_freq,Hispanic_percent,Hispanic_StdErrofRowPercent,Hispanic_MOE_percent,Hispanic_CV_Percent,Other_DU_WeightedFrequency,Other_StdErrWgtFreq,Other_MOE_freq,Other_percent,Other_StdErrofRowPercent,Other_MOE_percent,Other_CV_Percent,Multi_DU_WeightedFrequency,Multi_StdErrWgtFreq,Multi_MOE_freq,Multi_percent,Multi_StdErrofRowPercent,Multi_MOE_percent,Multi_CV_Percent,White_Poordu_WeightedFrequency,White_Poordu_StdErrWgtFreq,White_Poordu_MOE_freq,White_Poordu_percent,White_Poordu_StdErrofRowPercent,White_Poordu_MOE_percent,White_Poordu_CV_Percent,Black_Poordu_WeightedFrequency,Black_Poordu_StdErrWgtFreq,Black_Poordu_MOE_freq,Black_Poordu_percent,Black_Poordu_StdErrofRowPercent,Black_Poordu_MOE_percent,Black_Poordu_CV_Percent,AIAN_Poordu_WeightedFrequency,AIAN_Poordu_StdErrWgtFreq,AIAN_Poordu_MOE_freq,AIAN_Poordu_percent,AIAN_Poordu_StdErrofRowPercent,AIAN_Poordu_MOE_percent,AIAN_Poordu_CV_Percent,Asian_Poordu_WeightedFrequency,Asian_Poordu_StdErrWgtFreq,Asian_Poordu_MOE_freq,Asian_Poordu_percent,Asian_Poordu_StdErrofRowPercent,Asian_Poordu_MOE_percent,Asian_Poordu_CV_Percent,NHOPI_Poordu_WeightedFrequency,NHOPI_Poordu_StdErrWgtFreq,NHOPI_Poordu_MOE_freq,NHOPI_Poordu_percent,NHOPI_Poordu_StdErrofRowPercent,NHOPI_Poordu_MOE_percent,NHOPI_Poordu_CV_Percent,Hisp_Poordu_WeightedFrequency,Hisp_Poordu_StdErrWgtFreq,Hisp_Poordu_MOE_freq,Hisp_Poordu_percent,Hisp_Poordu_StdErrofRowPercent,Hisp_Poordu_MOE_percent,Hisp_Poordu_CV_Percent,Other_Poordu_WeightedFrequency,Other_Poordu_StdErrWgtFreq,Other_Poordu_MOE_freq,Other_Poordu_percent,Other_Poordu_StdErrofRowPercent,Other_Poordu_MOE_percent,Other_Poordu_CV_Percent,Multi_Poordu_WeightedFrequency,Multi_Poordu_StdErrWgtFreq,Multi_Poordu_MOE_freq,Multi_Poordu_percent,Multi_Poordu_StdErrofRowPercent,Multi_Poordu_MOE_percent,Multi_Poordu_CV_Percent
0100100,1995,491.75631,808.93913,1.1014,0.2545,0.4186525,0.2311,1995,491.75631,808.93913,6.9151,1.4162,2.329649,0.2048,548,152.07893,250.1698399,1.1004,0.3103,0.5104435,0.282,1696,490.91973,807.5629559,1.1597,0.3094,0.508963,0.2668,254,108.86355,179.0805398,1.3589,0.6389,1.0509905,0.4702,,,,,,,,,,,,,,,,,,,,,,12,12,19.74,0.106,0.114,0.18753,1.0754,,,,,,,,45,24.0964,39.638578,0.5673,0.3265,0.5370925,0.5755,1696,490.91973,807.5629559,8.5068,2.0875,3.4339375,0.2454,254,108.86355,179.0805398,5.3939,2.5681,4.2245245,0.4761,,,,,,,,,,,,,,,,,,,,,,12,12,19.74,0.3347,0.3738,0.614901,1.1167,,,,,,,,45,24.0964,39.638578,3.3235,2.2625,3.7218125,0.6808
0100200,167,125.06108,205.7254766,0.1598,0.1119,0.1840755,0.7002,167,125.06108,205.7254766,1.9512,1.2389,2.0379905,0.6349,25,25,41.125,0.1301,0.1229,0.2021705,0.9443,41,26.52443,43.63268735,0.0518,0.0317,0.0521465,0.6123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,126,207.27,1.6575,1.6671,2.7423795,1.0058,126,126,207.27,4.1366,3.7788,6.216126,0.9135,,,,,,,,41,26.52443,43.63268735,0.6338,0.3721,0.6121045,0.5871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,126,207.27,5.8714,6.1668,10.144386,1.0503,126,126,207.27,27.2138,20.9503,34.4632435,0.7698,,,,,,,
0100300,1090,253.36786,416.7901297,0.7053,0.1933,0.3179785,0.2741,1090,253.36786,416.7901297,6.146,1.6743,2.7542235,0.2724,516,205.17841,337.5184845,1.4704,0.6163,1.0138135,0.4191,772,255.40698,420.1444821,0.6597,0.2508,0.412566,0.3801,308,171.94291,282.846087,1.708,0.9042,1.487409,0.5294,,,,,,,,,,,,,,,,,,,,,,5,3.45096,5.6768292,0.037,0.0233,0.0383285,0.6308,2,2,3.29,0.0411,0.0392,0.064484,0.9556,8,5.5922,9.199169,0.0686,0.0486,0.079947,0.7083,772,255.40698,420.1444821,6.2866,2.268,3.73086,0.3608,308,171.94291,282.846087,9.5415,4.0794,6.710613,0.4275,,,,,,,,,,,,,,,,,,,,,,5,3.41565,5.61874425,0.239,0.1539,0.2531655,0.6438,2,2,3.29,0.4386,0.4498,0.739921,1.0255,8,5.56776,9.1589652,0.4926,0.3475,0.5716375,0.7054
0100400,423,147.53336,242.6923772,0.3669,0.1343,0.2209235,0.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100402,884,274.26066,451.1587857,0.5639,0.1749,0.2877105,0.3101,884,274.26066,451.1587857,4.5614,1.3117,2.1577465,0.2876,363,162.85046,267.8890067,0.7022,0.2799,0.4604355,0.3986,307,154.16019,253.5935126,0.36870000000000003,0.1956,0.321762,0.5306,524,197.16537,324.3370337,0.9709,0.3493,0.5745985,0.3598,,,,,,,,53,36.64448,60.2801696,0.8972,0.6499,1.0690855,0.7243,,,,,,,,95,95,156.275,0.8983,0.7727,1.2710915,0.8602,,,,,,,,,,,,,,,307,154.16019,253.5935126,5.1884,2.5393,4.1771485,0.4894,524,197.16537,324.3370337,4.8264,1.8496,3.042592,0.3832,,,,,,,,53,35.22783,57.94978035,9.4982,5.9727,9.8250915,0.6288,,,,,,,,95,95,156.275,4.7548,3.8881,6.3959245,0.8177,,,,,,,,,,,,,,
0100403,655,177.4637,291.9277865,0.6503,0.191,0.314195,0.2937,655,177.4637,291.9277865,4.1861,1.2588,2.070726,0.3007,570,150.19624,247.0728148,1.5237,0.4484,0.737618,0.2943,420,170.23193,280.0315249,0.5974,0.2446,0.402367,0.4094,235,111.40548,183.2620146,1.3705,0.6534,1.074843,0.4767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,170.23193,280.0315249,6.2167,2.3907,3.9327015,0.3846,235,111.40548,183.2620146,3.482,1.5557,2.5591265,0.4468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100501,911,312.7943,514.5466235,0.8248,0.2666,0.438557,0.3232,911,312.7943,514.5466235,5.8593,1.9375,3.1871875,0.3307,134,54.86844,90.2585838,0.5211,0.2144,0.352688,0.4114,727,267.16883,439.4927254,0.7959,0.27,0.44415,0.3393,41,36.85228,60.6220006,1.6998,1.5436,2.539222,0.9081,12,12,19.74,0.9252,0.9035,1.4862575,0.9765,,,,,,,,,,,,,,,50,31.32817,51.53483965,0.2942,0.1609,0.2646805,0.547,31,29.92567,49.22772715,0.4322,0.3575,0.5880875,0.8272,100,97.83846,160.94426669999999,1.3517,1.2238,2.013151,0.9054,727,267.16883,439.4927254,6.3638,2.2346,3.675917,0.3511,41,36.81576,60.5619252,11.7143,10.8257,17.8082765,0.9241,12,12,19.74,10.6195,12.3331,20.2879495,1.1614,,,,,,,,,,,,,,,50,31.32817,51.53483965,1.1688,0.6939,1.1414655,0.5937,31,29.84962,49.1026249,1.2852,1.0891,1.7915695,0.8474,100,97.82024,160.9142948,8.0515,7.8916,12.981682,0.9801
0100600,1353,265.64416,436.9846432,1.0984,0.1741,0.2863945,0.1585,1353,265.64416,436.9846432,6.261,1.1044,1.816738,0.1764,603,228.40216,375.7215532,2.1509,0.7413,1.2194385,0.3446,961,244.86193,402.7978749,0.9309,0.2087,0.3433115,0.2241,124,87.36132,143.7093714,5.1155,3.8189,6.2820905,0.7465,5,5,8.225,0.2641,0.2791,0.4591195,1.0567,,,,,,,,,,,,,,,263,155.48487,255.7726112,1.9123000000000001,1.1018,1.812461,0.5762,231,156.51053,257.4598219,2.6999,1.734,2.85243,0.6423,32,32,52.64,0.477,0.4619,0.7598255,0.9684,961,244.86193,402.7978749,6.2909,1.4159,2.3291555,0.2251,124,86.91247,142.9710132,20.7705,11.9094,19.590963,0.5734,5,5,8.225,1.0331,1.261,2.074345,1.2206,,,,,,,,,,,,,,,263,154.27443,253.7814374,4.3536,2.3284,3.830218,0.5348,231,154.79341,254.6351595,5.4843,3.0133,4.9568785,0.5494,32,32,52.64,3.1715,3.3851,5.5684895,1.0674
0100700,1569,352.09851,579.202049,1.2388,0.2816,0.463232,0.2273,1569,352.09851,579.202049,7.7086,1.5104,2.484608,0.1959,551,256.86838,422.5484851,1.9731,0.96,1.5792,0.4866,934,216.94155,356.8688498,0.921,0.2037,0.3350865,0.2211,423,209.86294,345.2245363,2.6955,1.3447,2.2120315,0.4989,21,21,34.545,3.3439,3.8486,6.330947,1.1509,,,,,,,,,,,,,,,187,70.90775,116.6432488,3.3767,1.4824,2.438548,0.439,115,64.56216,106.2047532,3.2513,1.9342,3.181759,0.5949,76,28.61659,47.07429055,1.5926,0.6159,1.0131555,0.3867,934,216.94155,356.8688498,6.827,1.2278,2.019731,0.1798,423,209.86294,345.2245363,10.5329,4.0008,6.581316,0.3798,21,21,34.545,6.6038,8.703,14.316435,1.3179,,,,,,,,,,,,,,,187,69.12597,113.7122207,12.5926,5.2952,8.710604,0.4205,115,62.33177,102.5357617,14.7436,8.8295,14.5245275,0.5989,76,27.88548,45.8716146,5.2342,1.4301,2.3525145,0.2732
0100800,859,182.32115,299.9182918,0.7661,0.1533,0.25217850000000003,0.2001,859,182.32115,299.9182918,4.3777,0.9313,1.5319885,0.2127,374,145.12315,238.7275818,1.2115,0.4714,0.775453,0.3891,294,110.61974,181.9694723,0.3671,0.1351,0.2222395,0.368,302,130.16772,214.1258994,1.2571,0.5454,0.897183,0.4339,,,,,,,,,,,,,,,,,,,,,,239,147.74271,243.036758,4.7591,2.8656,4.713912,0.6021,253,170.08175,279.7844788,10.6661,5.7864,9.518628,0.5425,10,10,16.45,0.2406,0.2443,0.4018735,1.0152,294,110.61974,181.9694723,2.7227,1.0302,1.694679,0.3784,302,130.16772,214.1258994,4.5813,1.6079,2.6449955,0.351,,,,,,,,,,,,,,,,,,,,,,239,143.9618,236.817161,15.7652,6.1137,10.0570365,0.3878,253,155.3834,255.605693,26.1905,6.5535,10.7805075,0.2502,10,10,16.45,1.0246,1.12,1.8424,1.0931
