STATEFIP,DU_WeightedFrequency,StdErrWgtFreq,MOE_freq,DUpercent_prevalenceinSTATE,StdErrofRowPercent,MOE_percent,CV_Percent,Poordu_WeightedFrequency,Poordu_StdErrWgtFreq,Poordu_MOE_freq,Poordu_percent,Poordu_StdErrofRowPercent,Poordu_MOE_percent,Poordu_CV_Percent,White_DU_WeightedFrequency,White_StdErrWgtFreq,White_MOE_freq,White_percent,White_StdErrofRowPercent,White_MOE_percent,White_CV_Percent,AIAN_DU_WeightedFrequency,AIAN_StdErrWgtFreq,AIAN_MOE_freq,AIAN_percent,AIAN_StdErrofRowPercent,AIAN_MOE_percent,AIAN_CV_Percent,Black_DU_WeightedFrequency,Black_StdErrWgtFreq,Black_MOE_freq,Black_percent,Black_StdErrofRowPercent,Black_MOE_percent,Black_CV_Percent,Hispanic_DU_WeightedFrequency,Hispanic_StdErrWgtFreq,Hispanic_MOE_freq,Hispanic_percent,Hispanic_StdErrofRowPercent,Hispanic_MOE_percent,Hispanic_CV_Percent,Asian_DU_WeightedFrequency,Asian_StdErrWgtFreq,Asian_MOE_freq,Asian_percent,Asian_StdErrofRowPercent,Asian_MOE_percent,Asian_CV_Percent,Multi_DU_WeightedFrequency,Multi_StdErrWgtFreq,Multi_MOE_freq,Multi_percent,Multi_StdErrofRowPercent,Multi_MOE_percent,Multi_CV_Percent,Other_DU_WeightedFrequency,Other_StdErrWgtFreq,Other_MOE_freq,Other_percent,Other_StdErrofRowPercent,Other_MOE_percent,Other_CV_Percent,STATEFIP,NHOPI_DU_WeightedFrequency,NHOPI_StdErrWgtFreq,NHOPI_MOE_freq,NHOPI_percent,NHOPI_StdErrofRowPercent,NHOPI_MOE_percent,NHOPI_CV_Percent
1,60011,2790,4589.55,1.2202,0.0547,0.0899815,0.0448,60011,2790,4589.55,7.9217,0.3274,0.538573,0.0413,25813,1747,2873.815,0.8009,0.0536,0.088172,0.0669,112,43.65776,71.8170152,0.4744,0.1866,0.306957,0.3933,28388,1950,3207.75,2.2424,0.1478,0.243131,0.0659,4228,797.33546,1311.616832,1.5843,0.2937,0.4831365,0.1854,357,126.79507,208.5778902,0.4958,0.1773,0.2916585,0.3575,2876,513.03,843.93435,1.296,0.2276,0.374402,0.1756,2465,497.11577,817.7554417,2.2625,0.4524,0.744198,0.1999,1,.,.,.,.,.,.,.
2,5979,2662,4378.99,0.8494,0.3196,0.525742,0.3762,5979,2662,4378.99,7.9327,2.4025,3.9521125,0.3029,1076,483.08902,794.6814379,0.2513,0.1049,0.1725605,0.4173,3908,2474,4069.73,4.0171,1.1935,1.9633075,0.2971,205,127.66754,210.0131033,0.983,0.6481,1.0661245,0.6593,160,89.42036,147.0964922,0.3239,0.1505,0.2475725,0.4647,74,52.34501,86.10754145,0.1621,0.0742,0.122059,0.458,303,122.93494,202.2279763,0.348,0.1145,0.1883525,0.3291,135,103.76416,170.6920432,0.9154,0.667,1.097215,0.7286,2,278,278,457.31,2.7792,2.2487,3.6991115,0.8091
4,86703,3296,5421.92,1.2201,0.0445,0.0732025,0.0365,86703,3295,5420.275,8.4852,0.2874,0.472773,0.0339,30942,2031,3340.995,0.6874,0.0432,0.071064,0.0628,16059,1065,1751.925,5.6575,0.3332,0.548114,0.0589,4122,610.34221,1004.012935,1.2811,0.184,0.30268,0.1436,47178,2654,4365.83,2.1313,0.1153,0.1896685,0.0541,1361,267.74409,440.4390281,0.5555,0.1089,0.1791405,0.196,21652,1809,2975.805,1.8491,0.1471,0.2419795,0.0796,12521,1240,2039.8,2.1937,0.2076,0.341502,0.0946,4,46,33.01515,54.30992175,0.3847,0.2781,0.4574745,0.7229
5,30651,2121,3489.045,1.0393,0.0609,0.1001805,0.0586,30651,2121,3489.045,6.7127,0.3701,0.6088145,0.0551,17455,1490,2451.05,0.8339,0.0632,0.103964,0.0757,562,452.01549,743.5654811,3.3444,2.4922,4.099669,0.7452,7995,906.40838,1491.041785,1.8618,0.1946,0.320117,0.1045,2965,674.72714,1109.926145,1.1336,0.2475,0.4071375,0.2183,460,166.24938,273.4802301,0.9986,0.3486,0.573447,0.3491,1988,380.78747,626.3953882,0.7654,0.1455,0.2393475,0.1902,1454,392.29569,645.3264101,1.6057,0.4303,0.7078435,0.268,5,737,407.56922,670.4513669,6.6878,3.7681,6.1985245,0.5634
6,689375,9371,15415.295,1.7964,0.0238,0.039151,0.0132,689375,9343,15369.235,10.9081,0.1276,0.209902,0.0117,178115,4771,7848.295,1.0554,0.0276,0.045402,0.0262,12415,1056,1737.12,2.8756,0.2378,0.391181,0.0827,48875,2505,4120.725,2.376,0.1188,0.195426,0.05,462861,7813,12852.385,3.0108,0.0489,0.0804405,0.0162,73235,2611,4295.095,1.2547,0.0441,0.0725445,0.0351,132012,4369,7187.005,2.0881,0.0671,0.1103795,0.0321,240376,5244,8626.38,3.5853,0.075,0.123375,0.0209,6,3669,761.85045,1253.24399,3.2539,0.6436,1.058722,0.1978
8,32966,1780,2928.1,0.5796,0.0309,0.0508305,0.0533,32966,1780,2928.1,5.0431,0.253,0.416185,0.0502,15651,1088,1789.76,0.3742,0.0256,0.042112,0.0685,1291,360.83314,593.5705153,2.3038,0.6267,1.0309215,0.272,3626,684.158,1125.43991,1.6355,0.2998,0.493171,0.1833,16497,1376,2263.52,1.3023,0.1063,0.1748635,0.0816,1148,226.42769,372.4735501,0.6289,0.124,0.20398,0.1971,5720,733.86121,1207.20169,0.789,0.0977,0.1607165,0.1238,5477,803.75556,1322.177896,1.756,0.2465,0.4054925,0.1404,8,53,45.70558,75.1856791,0.7071,0.6097,1.0029565,0.8621
9,24338,1892,3112.34,0.6949,0.0506,0.083237,0.0729,24338,1892,3112.34,5.7778,0.3762,0.618849,0.0651,8559,904.90082,1488.561849,0.3624,0.0373,0.0613585,0.1028,289,111.75036,183.8293422,3.1526,1.1322,1.862469,0.3591,6219,1016,1671.32,1.6798,0.2598,0.427371,0.1547,9678,1063,1748.635,1.541,0.1596,0.262542,0.1036,1333,348.17237,572.7435487,0.8052,0.2102,0.345779,0.2611,4904,902.39867,1484.445812,1.4387,0.2548,0.419146,0.1771,3034,481.47063,792.0191864,1.1986,0.1802,0.296429,0.1504,9,.,.,.,.,.,.,.
10,8213,1460,2401.7,0.8357,0.0981,0.1613745,0.1174,8213,1460,2401.7,7.0959,0.6514,1.071553,0.0918,2019,391.28378,643.6618181,0.3322,0.0616,0.101332,0.1853,357,348.06465,572.5663493,9.1351,6.7561,11.1137845,0.7396,2997,900.59036,1481.471142,1.4149,0.3508,0.577066,0.2479,2339,652.21239,1072.889382,2.2007,0.4336,0.713272,0.197,41,31.38471,51.62784795,0.1011,0.0695,0.1143275,0.6875,1468,545.74536,897.7511172,1.9163,0.7354,1.209733,0.3838,1331,462.47486,760.7711447,3.1649,1.0485,1.7247825,0.3313,10,.,.,.,.,.,.,.
11,9194,2316,3809.82,1.4348,0.1999,0.3288355,0.1393,9194,2316,3809.82,8.1081,0.7578,1.246581,0.0935,306,131.53707,216.3784802,0.1228,0.0442,0.072709,0.3599,.,.,.,.,.,.,.,7069,1926,3168.27,2.5573,0.1983,0.3262035,0.0775,1310,527.25516,867.3347382,1.7435,0.6553,1.0779685,0.3759,186,139.19052,228.9684054,0.7308,0.4738,0.779401,0.6483,508,215.38802,354.3132929,0.925,0.2682,0.441189,0.2899,1125,424.76229,698.7339671,3.4716,1.2773,2.1011585,0.3679,11,.,.,.,.,.,.,.
12,279979,6770,11136.65,1.305,0.0306,0.050337,0.0235,279979,6737,11082.365,8.2399,0.1759,0.2893555,0.0213,101841,3796,6244.42,0.7903,0.0288,0.047376,0.0365,1802,447.30687,735.8198012,2.7665,0.6636,1.091622,0.2399,89421,4043,6650.735,2.7637,0.1201,0.1975645,0.0435,109999,4166,6853.07,1.9004,0.0697,0.1146565,0.0367,5753,700.47604,1152.283086,0.9323,0.1119,0.1840755,0.12,54075,3117,5127.465,1.5717,0.0877,0.1442665,0.0558,26985,1710,2812.95,2.254,0.1399,0.2301355,0.0621,12,102,45.6837,75.1496865,0.8327,0.3796,0.624442,0.4559
